Id_Carrera;Nombre_Largo;Nombre_Corto;Abreviatura;Cuatrimestres
9;TECNICO SUPERIOR EN ADMINISTRACION AGROPECUARIA;AGRONEGOCIOS;AA;6
3;TECNICO SUPERIOR EN PUBLICIDAD;PUBLICIDAD;PUB;6
12;ANALISTA EN GESTION DE VENTAS;VENTAS;VTA;4
6;TECNICO SUPERIOR EN RELACIONES PUBLICAS E INSTITUCIONALES;RELACIONES PÚBLICAS;RRPP;6
7;ADMINISTRADOR DE RECURSOS HUMANOS;RECURSOS HUMANOS;RRHH;6
1;ANALISTA DE SISTEMAS DE COMPUTACION;ANALISTA DE SISTEMAS;INF;6
18;TECNICO SUPERIOR EN LOGISTICA;LOGÍSTICA;LOG;6
10;TECNICO SUPERIOR EN TURISMO;TURISMO;TUR;6
41;AGENTE DE TRANSPORTE ADUANERO Y DESPACHANTE DE ADUANA;AGENTE DE TRANSP. ADUANERO Y DESP. DE ADUANA;ATA;4
4;TECNICO SUPERIOR EN ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN DE EMPRESAS;ADMIN;6
13;TECNICO SUPERIOR EN MULTIMEDIOS;MULTIMEDIOS;MM;6
5;DISEÑO GRAFICO Y PUBLICITARIO;DISEÑO GRÁFICO;DG;6
59;TÉCNICO SUPERIOR EN SERVICIOS DE PAISAJISMO;SERVICIOS DE PAISAJISMO;SERPAI;2
39;ADMINISTRADOR DE REDES;ADMINISTRADOR DE REDES;AR;4
16;TECNICO SUPERIOR EN GESTION JURIDICA;GESTIÓN JURíDICA;GJ;6
2;ANAL.DE MERC.Y ESTRAT. DE COMERCIALIZACION;MARKETING;MKT;6
17;TECNICO SUPERIOR EN GESTION CONTABLE Y FINANCIERA;GESTIÓN CONTABLE Y FINANCIERA;GCF;6
60;TÉC. SUP. EN DES. DE SIMULACIONES VIRTUALES Y VIDEOJUEGOS;VIDEOJUEGOS;SVIRT;6
40;TÉCNICO EN SERVICIOS AGROPECUARIOS;TÉCNICO EN SERVICIOS AGROPECUARIOS;TSAGR;4
11;ASISTENTE GERENCIAL TRILINGÜE;TRILINGÜE;TRI;4
14;TECNICATURA SUPERIOR EN GESTION AMBIENTAL;GESTIÓN AMBIENTAL;GA;6
8;ANALISTA EN COMERCIO INTERNACIONAL;COMERCIO INTERNACIONAL;CI;6
