Id_Materia;Nombre
2;HISTORIA DEL DISEÑO
3;INTRODUCCIÓN A LA PUBLICIDAD
4;ELEMENTOS DE DISEÑO I
5;DISEÑO Y COMUNICACIÓN
6;DISEÑOMÁTICA I
7;ELEMENTOS DE DISEÑO II
8;TÉCNICAS DE DIBUJO
9;ESTÉTICA
10;DISEÑOMÁTICA II
11;TÉCNICAS EXPRESIVAS
12;FOTOGRAFÍA
13;PRODUCCIÓN GRÁFICA
14;SEMIÓTICA
15;TALLER DE DISEÑO GRÁFICO
16;CULTURA ORGANIZACIONAL
17;TALLER DE DISEÑO PUBLICITARIO
18;CREACIÓN PUBLICITARIA
19;DISEÑOMÁTICA IV
20;FOTOGRAFÍA PUBLICITARIA
21;TECNOLOGÍA DE IMPRESIÓN
22;CAMPAÑAS PUBLICITARIAS Y DISEÑO
23;TECNOLOGÍA Y DISEÑO
24;DISEÑOMÁTICA V
25;TALLER DE DISEÑO I
26;TALLER DE DISEÑO II
27;TIPOGRAFÍA
28;TALLER DE DISEÑO III
29;TALLER DE DISEÑO IV
30;TALLER DE DISEÑO V
31;INTRODUCCIÓN A LAS MATEMÁTICAS
32;SISTEMAS DE INFORMACIÓN
33;RECURSOS INFORMÁTICOS
34;PROBABILIDAD Y ESTADÍSTICA
35;EMPRESA Y PRODUCCIÓN
36;SOCIOLOGÍA EMPRESARIAL
37;FUNDAMENTOS DE ECONOMÍA
38;PSICOLOGÍA EMPRESARIAL
39;MERCADOTECNIA I
40;GESTIÓN FINANCIERA
42;INVESTIGACIÓN OPERATIVA
43;DIRECCIÓN DE EMPRESAS
44;ADMINISTRACIÓN DE LA PRODUCCIÓN
45;EVALUACIÓN DE PROYECTOS
46;COMERCIO EXTERIOR
47;DERECHO CIVIL Y COMERCIAL
48;PLANIFICACIÓN Y CONTROL DE GESTIÓN
49;PSICOLOGÍA SOCIAL
50;PRINCIPIOS DE ORGANIZACIÓN
51;INGLÉS
52;OBLIGACIONES Y CONTRATOS
53;REDACCIÓN DE INFORMES
54;COMUNICACIONES INSTITUCIONALES
55;TÉCNICAS DE COMUNICACIÓN
56;GRUPO Y LIDERAZGO
57;PROCESOS DE PRODUCCIÓN
58;DERECHO LABORAL
59;SOCIOLOGÍA DE LAS ORGANIZACIONES
60;DISEÑO Y EVALUACIÓN DE PUESTOS
61;TEORÍA Y PRÁCTICA DE LA MOTIVACIÓN Y PROMOCIÓN
62;RELACIONES SINDICALES
63;ESTRATEGIAS Y MÉTODOS DE CAPACITACIÓN
64;RELACIONES PÚBLICAS
66;SEMINARIO DE GESTIÓN DE RECURSOS HUMANOS
67;ADMINISTRACIÓN DE PERSONAL
68;TEORÍA DE LA COMUNICACIÓN
69;TÉCNICAS PUBLICITARIAS
70;SOCIOLOGÍA FUNCIONAL
71;MACROECONOMÍA
72;TEORÍA Y PRÁCTICA DE MERCADO I
73;MATEMÁTICA APLICADA II
74;MICROECONOMÍA
75;INFORMÁTICA I
76;TEORÍA Y PRÁCTICA DE MERCADO II
77;TÉCNICAS Y ESTRATEGIAS DE COMERC. I
78;RECURSOS REGIONALES
79;SEMINARIO DE MERCADOS
80;ORGANIZACIÓN Y CONDUCCIÓN EMPRESARIA
81;CONDUCCIÓN DE PERSONAL
82;TÉCNICAS Y ESTRATEGIAS DE COMERC. II
83;MARCAS Y PATENTES
84;CANALES DE DISTRIBUCIÓN
85;POLÍTICA DE PRECIOS
86;SEMINARIO DE COMERCIALIZACIÓN
87;CONFECCIÓN DE INFORMES
88;PSICOLOGÍA MOTIVACIONAL
89;TEORÍA Y PRÁCTICA DE MERCADO III
90;INTROD. AL CONOCIMIENTO EN EL SIGLO 21
91;ORGANIZACIÓN EMPRESARIA
92;ORGANIZACIÓN DE LA INFORMACIÓN
93;INGLÉS I
94;PORTUGUÉS I
95;OFIMÁTICA I
96;COMUNICACIÓN ORGANIZACIONAL
97;INGLÉS II
98;PORTUGUÉS II
99;EXPRESIÓN ORAL Y ESCRITA (cursillo)
100;OFIMÁTICA II
101;CONDUCCIÓN Y LIDERAZGO
103;OPERATORIA BANCARIA, IMPUESTOS Y SERVICIOS
104;RELACIONES PÚBLICAS E INSTITUCIONALES
105;INGLÉS IV
106;PORTUGUÉS IV
107;SEMINARIO DE PRÁCTICA PROFESIONAL
108;INTRODUCCIÓN A LAS RELACIONES PÚBLICAS E INSTUCIONALES
109;CONDUCCIÓN Y ORGANIZACIÓN EMPRESARIAL
110;TÉCNICAS DE COMUNICACIÓN SOCIAL
111;EXPRESIÓN ORAL Y ESCRITA I
112;MEDIOS AUDIOVISUALES
113;COMUNICACIÓN E IMAGEN
114;PSICOLOGÍA DE LAS ORGANIZACIONES
115;TEORÍA Y PRACT. DE LAS RELACIONES PÚBLICAS E INSTITUCIONALES
116;EXPRESIÓN ORAL Y ESCRITA II
117;RELACIONES PÚBLICAS E INSTITUCIONALES APLICADAS
118;ORGANIZACIÓN DE EVENTOS
119;MERCADOTECNIA
120;SEMINARIO DE RELACIONES PÚBLICAS E INSTITUCIONALES
121;TÉCNICAS DE INVESTIGACIÓN SOCIAL
122;PROGRAMACIÓN LÓGICA
123;SISTEMAS DE PROCESAMIENTO DE DATOS I
124;MATEMÁTICA I
125;INGLÉS TÉCNICO I
126;TEORÍA DE LA EDUCACIÓN
127;ANTROPOLOGÍA FILOSÓFICA
128;PROGRAMACIÓN I
129;SISTEMAS DE PROCESAMIENTO DE DATOS II
130;MATEMÁTICA II
131;INGLÉS TÉCNICO II
132;BASES PSICOLÓGICAS DE LA EDUCACIÓN
133;PROGRAMACIÓN II
134;SISTEMAS DE PROCESAMIENTO DE DATOS III
135;MATEMÁTICA III
136;LENGUAJES GENERADORES DE INFORMES I
137;ÉTICA GENERAL
138;TEORÍA Y PRÁCTICA DE GRUPOS
139;PROGRAMACIÓN CIENTÍFICA
140;TÉCNICAS DE PROGRAMACIÓN
141;SISTEMAS ADMINISTRATIVOS I
142;LENGUAJES GENERADORES DE INFORMES II
143;DEONTOLOGÍA PROFESIONAL
144;SISTEMAS ADMINISTRATIVOS II
145;MATEMÁTICA APLICADA I
146;MINICOMPUTADORAS
147;SOCIOLOGÍA DE LA ORGANIZACIÓN EDUCATIVA
148;TECNOLOGÍA EDUCATIVA
149;SISTEMAS ADMINISTRATIVOS III
150;SEMINARIO II
151;TALLER DIDÁCTICO I Y ADSCRIPCIÓN
152;HISTORIA DE LA EDUCACIÓN ARGENTINA
153;POLÍTICA Y LEGISLACIÓN EDUCAC. ARGEN.
154;PSICOLOGÍA DEL APRENDIZAJE
155;PLANEAMIENTO DE LOS SISTEMAS EDUCATIVOS
156;ORGANIZACIÓN Y ADMINISTRACIÓN ESCOLAR
157;TECNOLOGÍA EDUCATIVA II
158;RESIDENCIA DOCENTE
159;ECONOMÍA DE LA EDUCACIÓN
160;SEMINARIO PEDAGÓGICO
161;TALLER DIDÁCTICO II Y RESIDENCIA DOCENTE
163;OFIMÁTICA
164;LÓGICA I
165;HARDWARE
166;LÓGICA II
167;ESTRUCTURA DE DATOS
168;APLICACIONES ADMINISTRATIVAS
170;TEORÍA DE BASE DE DATOS
171;PRINCIPIOS DE ORGANIZ. Y ADMINISTRACIÓN
172;PROGRAMACIÓN DE PÁGINAS
173;MATEMÁTICA APLICADA
174;SISTEMAS OPERATIVOS
175;SEMINARIO I
176;ANÁLISIS DE SISTEMAS
177;INTERFAZ GRÁFICA
178;COMERCIALIZACIÓN
179;MERCADOS TURÍSTICOS
180;SERVICIOS TURÍSTICOS
181;PRODUCTO  TURÍSTICO I
182;SISTEMAS DE INFORMACIÓN PARA TURISMO
183;INGLÉS III
184;PRODUCTO TURÍSTICO II
185;ADMINISTRACIÓN HOTELERA
186;PROCESOS HISTÓRICOS, MUNDIALES Y ARGENTINOS
187;VENTA DE SERVICIOS TURÍSTICOS I
188;PORTUGUÉS III
189;PROGRAMACIÓN TURÍSTICA
190;VENTA DE SERVICIOS TURÍSTICOS II
191;SISTEMAS DE VENTAS
192;SISTEMAS ADMINISTRATIVOS
193;PSICOLOGÍA DE LA VENTA
194;TEORÍA Y PRÁCTICA DE MERCADO
195;TÉCNICAS DE VENTA
196;TÉCNICAS Y ESTRATEGIAS DE COMERC.
197;ADMINISTRACIÓN DE LA VENTA
198;ADMINISTRACIÓN DE RECURSOS HUMANOS
199;TÉCNICAS DE NEGOCIACIÓN
200;SEMINARIO DE GESTIÓN DE VENTAS
201;COMERCIO INTERNACIONAL I
202;IDIOMA EXTRANJERO I
203;IDIOMA EXTRANJERO II
204;COMERCIO INTERNACIONAL II
205;GEOGRAFÍA ECONÓMICA
206;GEOGRAFÍA ECONÓMICA II
207;ANÁLISIS DE COSTOS
208;NEGOCIOS INTERNACIONALES
209;INFORMÁTICA II
210;SEMINARIO DE COMERCIALIZACIÓN I
211;TRÁMITES ADUANEROS
212;ELEMENTOS DE DERECHO COMERCIO INTERNACIONAL
213;LOGÍSTICA
214;MARKETING DE COMERCIO INTERNACIONAL
215;SEMINARIO DE COMERCIALIZACIÓN II
216;BIOLOGÍA Y MEDIO AMBIENTE 
217;CLIMA Y SUELO
218;MANEJO DE SUELOS
219;PRINCIPIOS DE ADMINISTRACIÓN
220;INTRODUCCIÓN A LA PRODUCCIÓN AGROPECUARIA
221;ENTORNO ECONÓMICO
222;PRODUCCIÓN VEGETAL
223;ECONOMÍA DE EMPRESAS
224;PRODUCCIÓN ANIMAL
